offsetTop:0.00 offsetLeft:0.00 offsetWidth:0.09 offsetHeight:0.09
clientTop:0.05 clientLeft:0.05 clientWidth:0.00 clientHeight:0.00
offsetTop:0.19 offsetLeft:0.09 offsetWidth:0.19 offsetHeight:0.19
clientTop:0.05 clientLeft:0.05 clientWidth:0.09 clientHeight:0.09
offsetTop:0.39 offsetLeft:0.39 offsetWidth:0.28 offsetHeight:0.28
clientTop:0.05 clientLeft:0.05 clientWidth:0.19 clientHeight:0.19
offsetTop:0.59 offsetLeft:0.89 offsetWidth:0.39 offsetHeight:0.39
clientTop:0.05 clientLeft:0.05 clientWidth:0.30 clientHeight:0.30
offsetTop:0.80 offsetLeft:1.59 offsetWidth:0.48 offsetHeight:0.48
clientTop:0.05 clientLeft:0.05 clientWidth:0.39 clientHeight:0.39
offsetTop:1.00 offsetLeft:2.50 offsetWidth:0.59 offsetHeight:0.59
clientTop:0.05 clientLeft:0.05 clientWidth:0.50 clientHeight:0.50
offsetTop:1.19 offsetLeft:3.59 offsetWidth:0.69 offsetHeight:0.69
clientTop:0.05 clientLeft:0.05 clientWidth:0.59 clientHeight:0.59
offsetTop:1.39 offsetLeft:4.89 offsetWidth:0.78 offsetHeight:0.78
clientTop:0.05 clientLeft:0.05 clientWidth:0.69 clientHeight:0.69
offsetTop:1.59 offsetLeft:6.39 offsetWidth:0.89 offsetHeight:0.89
clientTop:0.05 clientLeft:0.05 clientWidth:0.80 clientHeight:0.80
offsetTop:1.80 offsetLeft:8.09 offsetWidth:0.98 offsetHeight:0.98
clientTop:0.05 clientLeft:0.05 clientWidth:0.89 clientHeight:0.89
offsetTop:2.00 offsetLeft:10.00 offsetWidth:1.09 offsetHeight:1.09
clientTop:0.05 clientLeft:0.05 clientWidth:1.00 clientHeight:1.00
offsetTop:2.19 offsetLeft:12.09 offsetWidth:1.19 offsetHeight:1.19
clientTop:0.05 clientLeft:0.05 clientWidth:1.09 clientHeight:1.09
offsetTop:2.39 offsetLeft:14.39 offsetWidth:1.28 offsetHeight:1.28
clientTop:0.05 clientLeft:0.05 clientWidth:1.19 clientHeight:1.19
offsetTop:2.59 offsetLeft:16.89 offsetWidth:1.39 offsetHeight:1.39
clientTop:0.05 clientLeft:0.05 clientWidth:1.30 clientHeight:1.30
offsetTop:2.80 offsetLeft:19.59 offsetWidth:1.48 offsetHeight:1.48
clientTop:0.05 clientLeft:0.05 clientWidth:1.39 clientHeight:1.39
offsetTop:3.00 offsetLeft:22.50 offsetWidth:1.59 offsetHeight:1.59
clientTop:0.05 clientLeft:0.05 clientWidth:1.50 clientHeight:1.50
offsetTop:3.19 offsetLeft:25.59 offsetWidth:1.69 offsetHeight:1.69
clientTop:0.05 clientLeft:0.05 clientWidth:1.59 clientHeight:1.59
offsetTop:3.39 offsetLeft:28.89 offsetWidth:1.78 offsetHeight:1.78
clientTop:0.05 clientLeft:0.05 clientWidth:1.69 clientHeight:1.69
offsetTop:3.59 offsetLeft:32.39 offsetWidth:1.89 offsetHeight:1.89
clientTop:0.05 clientLeft:0.05 clientWidth:1.80 clientHeight:1.80
offsetTop:3.80 offsetLeft:36.09 offsetWidth:1.98 offsetHeight:1.98
clientTop:0.05 clientLeft:0.05 clientWidth:1.89 clientHeight:1.89
offsetTop:2.00 offsetLeft:0.30 offsetWidth:2.13 offsetHeight:2.13
clientTop:0.06 clientLeft:0.06 clientWidth:2.00 clientHeight:2.00
offsetTop:2.39 offsetLeft:2.39 offsetWidth:2.22 offsetHeight:2.22
clientTop:0.06 clientLeft:0.06 clientWidth:2.09 clientHeight:2.09
offsetTop:2.80 offsetLeft:4.69 offsetWidth:2.31 offsetHeight:2.31
clientTop:0.06 clientLeft:0.06 clientWidth:2.19 clientHeight:2.19
offsetTop:3.19 offsetLeft:7.19 offsetWidth:2.42 offsetHeight:2.42
clientTop:0.06 clientLeft:0.06 clientWidth:2.30 clientHeight:2.30
offsetTop:3.59 offsetLeft:9.89 offsetWidth:2.52 offsetHeight:2.52
clientTop:0.06 clientLeft:0.06 clientWidth:2.39 clientHeight:2.39
offsetTop:4.00 offsetLeft:12.80 offsetWidth:2.63 offsetHeight:2.63
clientTop:0.06 clientLeft:0.06 clientWidth:2.50 clientHeight:2.50
offsetTop:4.39 offsetLeft:15.89 offsetWidth:2.72 offsetHeight:2.72
clientTop:0.06 clientLeft:0.06 clientWidth:2.59 clientHeight:2.59
offsetTop:4.80 offsetLeft:19.19 offsetWidth:2.81 offsetHeight:2.81
clientTop:0.06 clientLeft:0.06 clientWidth:2.69 clientHeight:2.69
offsetTop:5.19 offsetLeft:22.69 offsetWidth:2.92 offsetHeight:2.92
clientTop:0.06 clientLeft:0.06 clientWidth:2.80 clientHeight:2.80
offsetTop:5.59 offsetLeft:26.39 offsetWidth:3.02 offsetHeight:3.02
clientTop:0.06 clientLeft:0.06 clientWidth:2.89 clientHeight:2.89
offsetTop:6.00 offsetLeft:30.30 offsetWidth:3.13 offsetHeight:3.13
clientTop:0.06 clientLeft:0.06 clientWidth:3.00 clientHeight:3.00
offsetTop:6.39 offsetLeft:34.39 offsetWidth:3.22 offsetHeight:3.22
clientTop:0.06 clientLeft:0.06 clientWidth:3.09 clientHeight:3.09
offsetTop:6.80 offsetLeft:38.69 offsetWidth:3.31 offsetHeight:3.31
clientTop:0.06 clientLeft:0.06 clientWidth:3.19 clientHeight:3.19
offsetTop:7.19 offsetLeft:43.19 offsetWidth:3.42 offsetHeight:3.42
clientTop:0.06 clientLeft:0.06 clientWidth:3.30 clientHeight:3.30
offsetTop:7.59 offsetLeft:47.89 offsetWidth:3.52 offsetHeight:3.52
clientTop:0.06 clientLeft:0.06 clientWidth:3.39 clientHeight:3.39
offsetTop:8.00 offsetLeft:52.80 offsetWidth:3.63 offsetHeight:3.63
clientTop:0.06 clientLeft:0.06 clientWidth:3.50 clientHeight:3.50
offsetTop:8.39 offsetLeft:57.89 offsetWidth:3.72 offsetHeight:3.72
clientTop:0.06 clientLeft:0.06 clientWidth:3.59 clientHeight:3.59
offsetTop:8.80 offsetLeft:63.19 offsetWidth:3.81 offsetHeight:3.81
clientTop:0.06 clientLeft:0.06 clientWidth:3.69 clientHeight:3.69
offsetTop:9.19 offsetLeft:68.69 offsetWidth:3.92 offsetHeight:3.92
clientTop:0.06 clientLeft:0.06 clientWidth:3.80 clientHeight:3.80
offsetTop:9.59 offsetLeft:74.39 offsetWidth:4.02 offsetHeight:4.02
clientTop:0.06 clientLeft:0.06 clientWidth:3.89 clientHeight:3.89
offsetTop:8.00 offsetLeft:0.80 offsetWidth:4.19 offsetHeight:4.19
clientTop:0.09 clientLeft:0.09 clientWidth:4.00 clientHeight:4.00
offsetTop:8.59 offsetLeft:4.89 offsetWidth:4.28 offsetHeight:4.28
clientTop:0.09 clientLeft:0.09 clientWidth:4.09 clientHeight:4.09
offsetTop:9.19 offsetLeft:9.19 offsetWidth:4.38 offsetHeight:4.38
clientTop:0.09 clientLeft:0.09 clientWidth:4.19 clientHeight:4.19
offsetTop:9.80 offsetLeft:13.69 offsetWidth:4.48 offsetHeight:4.48
clientTop:0.09 clientLeft:0.09 clientWidth:4.30 clientHeight:4.30
offsetTop:10.39 offsetLeft:18.39 offsetWidth:4.58 offsetHeight:4.58
clientTop:0.09 clientLeft:0.09 clientWidth:4.39 clientHeight:4.39
offsetTop:11.00 offsetLeft:23.30 offsetWidth:4.69 offsetHeight:4.69
clientTop:0.09 clientLeft:0.09 clientWidth:4.50 clientHeight:4.50
offsetTop:11.59 offsetLeft:28.39 offsetWidth:4.78 offsetHeight:4.78
clientTop:0.09 clientLeft:0.09 clientWidth:4.59 clientHeight:4.59
offsetTop:12.19 offsetLeft:33.69 offsetWidth:4.88 offsetHeight:4.88
clientTop:0.09 clientLeft:0.09 clientWidth:4.69 clientHeight:4.69
offsetTop:12.80 offsetLeft:39.19 offsetWidth:4.98 offsetHeight:4.98
clientTop:0.09 clientLeft:0.09 clientWidth:4.80 clientHeight:4.80
offsetTop:13.39 offsetLeft:44.89 offsetWidth:5.08 offsetHeight:5.08
clientTop:0.09 clientLeft:0.09 clientWidth:4.89 clientHeight:4.89
offsetTop:14.00 offsetLeft:50.80 offsetWidth:5.19 offsetHeight:5.19
clientTop:0.09 clientLeft:0.09 clientWidth:5.00 clientHeight:5.00
offsetTop:14.59 offsetLeft:56.89 offsetWidth:5.28 offsetHeight:5.28
clientTop:0.09 clientLeft:0.09 clientWidth:5.09 clientHeight:5.09
offsetTop:15.19 offsetLeft:63.19 offsetWidth:5.38 offsetHeight:5.38
clientTop:0.09 clientLeft:0.09 clientWidth:5.19 clientHeight:5.19
offsetTop:15.80 offsetLeft:69.69 offsetWidth:5.48 offsetHeight:5.48
clientTop:0.09 clientLeft:0.09 clientWidth:5.30 clientHeight:5.30
offsetTop:16.39 offsetLeft:76.39 offsetWidth:5.58 offsetHeight:5.58
clientTop:0.09 clientLeft:0.09 clientWidth:5.39 clientHeight:5.39
offsetTop:17.00 offsetLeft:83.30 offsetWidth:5.69 offsetHeight:5.69
clientTop:0.09 clientLeft:0.09 clientWidth:5.50 clientHeight:5.50
offsetTop:17.59 offsetLeft:90.39 offsetWidth:5.78 offsetHeight:5.78
clientTop:0.09 clientLeft:0.09 clientWidth:5.59 clientHeight:5.59
offsetTop:18.19 offsetLeft:97.69 offsetWidth:5.88 offsetHeight:5.88
clientTop:0.09 clientLeft:0.09 clientWidth:5.69 clientHeight:5.69
offsetTop:18.80 offsetLeft:105.19 offsetWidth:5.98 offsetHeight:5.98
clientTop:0.09 clientLeft:0.09 clientWidth:5.80 clientHeight:5.80
offsetTop:19.39 offsetLeft:112.89 offsetWidth:6.08 offsetHeight:6.08
clientTop:0.09 clientLeft:0.09 clientWidth:5.89 clientHeight:5.89
offsetTop:18.00 offsetLeft:1.50 offsetWidth:6.25 offsetHeight:6.25
clientTop:0.13 clientLeft:0.13 clientWidth:6.00 clientHeight:6.00
offsetTop:18.80 offsetLeft:7.59 offsetWidth:6.34 offsetHeight:6.34
clientTop:0.13 clientLeft:0.13 clientWidth:6.09 clientHeight:6.09
offsetTop:19.59 offsetLeft:13.89 offsetWidth:6.44 offsetHeight:6.44
clientTop:0.13 clientLeft:0.13 clientWidth:6.19 clientHeight:6.19
offsetTop:20.39 offsetLeft:20.39 offsetWidth:6.55 offsetHeight:6.55
clientTop:0.13 clientLeft:0.13 clientWidth:6.30 clientHeight:6.30
offsetTop:21.19 offsetLeft:27.09 offsetWidth:6.64 offsetHeight:6.64
clientTop:0.13 clientLeft:0.13 clientWidth:6.39 clientHeight:6.39
offsetTop:22.00 offsetLeft:34.00 offsetWidth:6.75 offsetHeight:6.75
clientTop:0.13 clientLeft:0.13 clientWidth:6.50 clientHeight:6.50
offsetTop:22.80 offsetLeft:41.09 offsetWidth:6.84 offsetHeight:6.84
clientTop:0.13 clientLeft:0.13 clientWidth:6.59 clientHeight:6.59
offsetTop:23.59 offsetLeft:48.39 offsetWidth:6.94 offsetHeight:6.94
clientTop:0.13 clientLeft:0.13 clientWidth:6.69 clientHeight:6.69
offsetTop:24.39 offsetLeft:55.89 offsetWidth:7.05 offsetHeight:7.05
clientTop:0.13 clientLeft:0.13 clientWidth:6.80 clientHeight:6.80
offsetTop:25.19 offsetLeft:63.59 offsetWidth:7.14 offsetHeight:7.14
clientTop:0.13 clientLeft:0.13 clientWidth:6.89 clientHeight:6.89
offsetTop:26.00 offsetLeft:71.50 offsetWidth:7.25 offsetHeight:7.25
clientTop:0.13 clientLeft:0.13 clientWidth:7.00 clientHeight:7.00
offsetTop:26.80 offsetLeft:79.59 offsetWidth:7.34 offsetHeight:7.34
clientTop:0.13 clientLeft:0.13 clientWidth:7.09 clientHeight:7.09
offsetTop:27.59 offsetLeft:87.89 offsetWidth:7.44 offsetHeight:7.44
clientTop:0.13 clientLeft:0.13 clientWidth:7.19 clientHeight:7.19
