PASS element.width = 5000px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 50000px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 500000px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 5000000px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 50000000px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554424px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554425px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554426px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554427px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554428px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554429px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554430px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 33554432px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 35791395px, returns offsetWidth, rect.width and computed width as expected.
PASS element.width = 35791396px, returns offsetWidth, rect.width and computed width as expected.
Test handling of sizes exceeding the maximum supported value.
