
FAIL Test currentIteration during before and after phase when fill is none div.animate is not a function. (In 'div.animate({ opacity: [ 0, 1 ] }, { delay: 1 })', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:0 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:0 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:0 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:2.5 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:2.5 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:2.5 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:3 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:3 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test zero iterations: iterations:0 iterationStart:3 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:0 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:0 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:0 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:2.5 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:2.5 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:2.5 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:3 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:3 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test integer iterations: iterations:3 iterationStart:3 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:0 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:0 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:0 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:2.5 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:2.5 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:2.5 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:3 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:3 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test fractional iterations: iterations:3.5 iterationStart:3 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:0 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:0 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:0 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:2.5 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:2.5 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:2.5 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:3 duration:0 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:3 duration:100 delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test infinity iterations: iterations:Infinity iterationStart:3 duration:Infinity delay:1 fill:both div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test end delay: duration:100 delay:1 fill:both endDelay:50 div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test end delay: duration:100 delay:1 fill:both endDelay:-50 div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test end delay: duration:100 delay:1 fill:both endDelay:-100 div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test end delay: duration:100 delay:1 fill:both endDelay:-200 div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test end delay: iterationStart:0.5 duration:100 delay:1 fill:both endDelay:50 div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test end delay: iterationStart:0.5 duration:100 delay:1 fill:both endDelay:-50 div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
FAIL Test end delay: iterationStart:0.5 duration:100 delay:1 fill:both endDelay:-100 div.animate is not a function. (In 'div.animate({}, currentTest.input)', 'div.animate' is undefined)
