
EVENT(canplaythrough)
EVENT(seeked)
Saw close enough to (194, 193, 14) at (40, 165) OK
Saw close enough to (194, 193, 14) at (355, 165) OK
Saw close enough to (194, 193, 14) at (40, 403) OK
Saw close enough to (194, 193, 14) at (355, 403) OK
Saw close enough to (17, 197, 195) at (56, 165) OK
Saw close enough to (17, 197, 195) at (371, 165) OK
Saw close enough to (17, 197, 195) at (56, 403) OK
Saw close enough to (17, 197, 195) at (371, 403) OK
Saw close enough to (20, 200, 18) at (73, 165) OK
Saw close enough to (20, 200, 18) at (388, 165) OK
Saw close enough to (20, 200, 18) at (73, 403) OK
Saw close enough to (20, 200, 18) at (388, 403) OK
EVENT(seeked)
Saw close enough to (194, 193, 14) at (40, 165) OK
Saw close enough to (194, 193, 14) at (355, 165) OK
Saw close enough to (194, 193, 14) at (40, 403) OK
Saw close enough to (194, 193, 14) at (355, 403) OK
Saw close enough to (17, 197, 195) at (56, 165) OK
Saw close enough to (17, 197, 195) at (371, 165) OK
Saw close enough to (17, 197, 195) at (56, 403) OK
Saw close enough to (17, 197, 195) at (371, 403) OK
Saw close enough to (20, 200, 18) at (73, 165) OK
Saw close enough to (20, 200, 18) at (388, 165) OK
Saw close enough to (20, 200, 18) at (73, 403) OK
Saw close enough to (20, 200, 18) at (388, 403) OK
EVENT(seeked)
Saw close enough to (194, 193, 14) at (40, 165) OK
Saw close enough to (194, 193, 14) at (355, 165) OK
Saw close enough to (194, 193, 14) at (40, 403) OK
Saw close enough to (194, 193, 14) at (355, 403) OK
Saw close enough to (17, 197, 195) at (56, 165) OK
Saw close enough to (17, 197, 195) at (371, 165) OK
Saw close enough to (17, 197, 195) at (56, 403) OK
Saw close enough to (17, 197, 195) at (371, 403) OK
Saw close enough to (20, 200, 18) at (73, 165) OK
Saw close enough to (20, 200, 18) at (388, 165) OK
Saw close enough to (20, 200, 18) at (73, 403) OK
Saw close enough to (20, 200, 18) at (388, 403) OK
EVENT(seeked)
Saw close enough to (194, 193, 14) at (40, 165) OK
Saw close enough to (194, 193, 14) at (355, 165) OK
Saw close enough to (194, 193, 14) at (40, 403) OK
Saw close enough to (194, 193, 14) at (355, 403) OK
Saw close enough to (17, 197, 195) at (56, 165) OK
Saw close enough to (17, 197, 195) at (371, 165) OK
Saw close enough to (17, 197, 195) at (56, 403) OK
Saw close enough to (17, 197, 195) at (371, 403) OK
Saw close enough to (20, 200, 18) at (73, 165) OK
Saw close enough to (20, 200, 18) at (388, 165) OK
Saw close enough to (20, 200, 18) at (73, 403) OK
Saw close enough to (20, 200, 18) at (388, 403) OK
END OF TEST

